Ciudad,Cantidad
"Zacatecas, Mexico",8190
"Guadalupe, Zacatecas, Mexico",4318
"Sombrerete, Zacatecas, Mexico",1749
"Mexico City, Distrito Federal, Mexico",1709
"Fresnillo, Zacatecas, Mexico",953
"Aguascalientes, Mexico",804
"Jerez, Zacatecas, Mexico",773
"La Zacatecana, Zacatecas, Mexico",426
"Durango, Mexico",366
"Villa de Cos, Zacatecas, Mexico",339
"Villanueva, Zacatecas, Mexico",327
"Calera, Zacatecas, Mexico",280
"Guadalajara, Jalisco, Mexico",244
"Zapopan, Jalisco, Mexico",193
"Ojo Caliente, Zacatecas, Mexico",167
"Trancoso, Zacatecas, Mexico",140
"Juan Aldama, Zacatecas, Mexico",126
"Vicente Guerrero, Durango, Mexico",108
"Tacoaleche, Zacatecas, Mexico",104
"Los Angeles, CA",98
"Loreto, Zacatecas, Mexico",87
"Morelos, Zacatecas, Mexico",81
"Lima, Lima Region, Peru",80
"La Paz, La Paz Department, Bolivia",80
"Jalpa, Zacatecas, Mexico",78
"Miguel Auza, Zacatecas, Mexico",65
"Dallas, TX",58
"Fort Worth, TX",55
"Tlaquepaque, Jalisco, Mexico",55
"Pinos, Zacatecas, Mexico",45
"Nieves, Zacatecas, Mexico",41
"Cochabamba, Cochabamba Department, Bolivia",39
"El Bordo, Zacatecas, Mexico",37
"Chicago, IL",35
"Las Estrellas, Cauca, Colombia",31
"San Marcos, Zacatecas, Mexico",29
"Tlaltenango, Zacatecas, Mexico",26
"Waco, TX",23
"Xalapa, Veracruz, Mexico",23
"Santiago Papasquiaro, Durango, Mexico",23
"Calchihuites, Zacatecas, Mexico",21
"Arlington, TX",19
"Zoquite, Zacatecas, Mexico",18
"Momax, Zacatecas, Mexico",18
"Laguna Seca, Zacatecas, Mexico",16
"Juchipila, Zacatecas, Mexico",15
"Chihuahua, Mexico",14
"Los Ramírez, Zacatecas, Mexico",14
"Canatlán, Durango, Mexico",13
"Salina Cruz, Oaxaca, Mexico",13
"Hacienda Nueva, Zacatecas, Mexico",13
"Medellín, Antioquia, Colombia",12
"Teocaltiche, Jalisco, Mexico",11
"Guanajuato, Mexico",11
"Valparaíso, Zacatecas, Mexico",10
"Luis Moya, Zacatecas, Mexico",10
"Vetagrande, Zacatecas, Mexico",10
"San Luis Potosí, San Luis Potosi, Mexico",9
"Tabasco, Zacatecas, Mexico",9
"Pozo de Gamboa, Zacatecas, Mexico",9
"Santo Domingo Laguna, San Luis Potosi, Mexico",9
"Monterrey, Nuevo León, Mexico",9
"Toluca, State of Mexico, Mexico",8
"Rialto, CA",8
"San Diego, CA",8
"Tlachichila, Zacatecas, Mexico",7
"Memphis, TN",7
"Maravillas, Aguascalientes, Mexico",7
"Nuevo Laredo, Tamaulipas, Mexico",6
"Cieneguita, Zacatecas, Mexico",6
"El Zacatón, San Luis Potosi, Mexico",6
"Sauceda de la Borda, Zacatecas, Mexico",5
"Lampotal, Zacatecas, Mexico",5
"Bimbaletes, Zacatecas, Mexico",5
"El Maguey, Veracruz, Mexico",5
"Las Vegas, NV",5
"Tepezalá, Aguascalientes, Mexico",5
"Veracruz, Mexico",5
"El Barril, San Luis Potosi, Mexico",5
"Nochistlán, Zacatecas, Mexico",4
"Colotlán, Jalisco, Mexico",4
"El Chique, Zacatecas, Mexico",4
"Cedros, Zacatecas, Mexico",4
"Río Grande, Zacatecas, Mexico",4
"Nuevo León, Coahuila de Zaragoza, Mexico",4
"Lagos de Moreno, Jalisco, Mexico",4
"Querétaro, Querétaro Arteaga, Mexico",4
"Morelia, Michoacán de Ocampo, Mexico",4
"Cleburne, TX",4
"New York, NY",4
"Río Florido, Zacatecas, Mexico",4
"León, Guanajuato, Mexico",3
"Laredo, TX",3
"Houston, TX",3
"Cuernavaca, Morelos, Mexico",3
"Saín Alto, Zacatecas, Mexico",3
"Ciudad Juárez, Chihuahua, Mexico",3
"Apodaca, Nuevo León, Mexico",3
"Susticacan, Zacatecas, Mexico",3
"Cancún, Quintana Roo, Mexico",3
"Torreón, Coahuila de Zaragoza, Mexico",3
"Louvain-la-Neuve, Wallonia, Belgium",2
"San José Iturbide, Guanajuato, Mexico",2
"Rincón de Romos, Aguascalientes, Mexico",2
"Sunnyside, WA",2
"Huejuquilla el Alto, Jalisco, Mexico",2
"North Wilkesboro, NC",2
"El Rucio, Zacatecas, Mexico",2
"Bogotá, Distrito Especial, Colombia",2
"Apizaco, Tlaxcala, Mexico",2
"Santa Ana, CA",2
"Saltillo, Coahuila de Zaragoza, Mexico",2
"Guadalupe de Trujillo, Zacatecas, Mexico",2
"Alicante, Comunidad Valenciana, Spain",2
"Río Verde, San Luis Potosi, Mexico",2
"Calvillo, Aguascalientes, Mexico",2
"Miami, FL",2
"Santa Catarina, Nuevo León, Mexico",2
"Des Moines, IA",2
"Swan, TX",2
"La Plata, Buenos Aires, Argentina",2
"Lennox, CA",2
"Jose María Morelos y Pavón, Zacatecas, Mexico",2
"Tuxtla Gutiérrez, Chiapas, Mexico",2
"Villa García, Zacatecas, Mexico",2
"Reynosa, Tamaulipas, Mexico",2
"Tepatitlan, Jalisco, Mexico",2
"Guadalupe, Nuevo León, Mexico",2
"Apozol, Zacatecas, Mexico",2
"Grand Prairie, TX",2
"Pereira, Risaralda, Colombia",2
"Fullerton, CA",2
"Los Haros, Zacatecas, Mexico",1
"Los Cerritos, Michoacán de Ocampo, Mexico",1
"El Paso, TX",1
"Gómez Palacio, Durango, Mexico",1
"Montebello, CA",1
"Perry, IA",1
"Quito, Pichincha Province, Ecuador",1
"Cunduacán, Tabasco, Mexico",1
"Winchester, VA",1
"Noida, Uttar Pradesh, India",1
"Columbus, OH",1
"Geyserville, CA",1
"Manchester, England, United Kingdom",1
"Plenitud, Zacatecas, Mexico",1
"Monroe City, MO",1
"Exeter, England, United Kingdom",1
"Caseyville, IL",1
"General Pánfilo Natera, Zacatecas, Mexico",1
"Cañitas de Felipe Pescador, Zacatecas, Mexico",1
"La Paz, Baja California Sur, Mexico",1
"San Nicolás de los Garza, Nuevo León, Mexico",1
"Salinas de Hidalgo, San Luis Potosi, Mexico",1
"Brignoles, Provence-Alpes-Côte d'Azur, France",1
"Hawthorne, CA",1
"Compton, CA",1
"Mezquital del Oro, Zacatecas, Mexico",1
"Durham, NC",1
"Villa González Ortega, Zacatecas, Mexico",1
"Hügelsheim, Baden-Württemberg, Germany",1
"South Gate, CA",1
"Anaheim, CA",1
"Kansas City, KS",1
"Villahermosa, Tabasco, Mexico",1
"Villa Juárez, Aguascalientes, Mexico",1
"Cary, IL",1
"Las Pintas de Arriba, Jalisco, Mexico",1
"Cuencamé, Durango, Mexico",1
"Noria de ??ngeles, Zacatecas, Mexico",1
"Ermita de Guadalupe, Zacatecas, Mexico",1
"Tioga, ND",1
"Valenciana, Zacatecas, Mexico",1
"San Andrés Cholula, Puebla, Mexico",1
"Pasco, WA",1
"Yoro, Yoro Department, Honduras",1
"Coahuila, San Luis Potosi, Mexico",1
"Santa Rita Tlahuapan, Puebla, Mexico",1
"Huajuapan, Oaxaca, Mexico",1
"Montevideo, Montevideo Department, Uruguay",1
"Mérida, Yucatán, Mexico",1
"Fort Myers, FL",1
"La Tinajera, Jalisco, Mexico",1
"Corregidora, Querétaro Arteaga, Mexico",1
"Westminster, CA",1
"Floridablanca, Santander, Colombia",1
"Des Plaines, IL",1
"Tlajomulco de Zúñiga, Jalisco, Mexico",1
"Tooele, UT",1
"Charlotte, NC",1
"Tijuana, Baja California, Mexico",1
"Berlin, Germany",1
"West Covina, CA",1
"Plateros, Zacatecas, Mexico",1
"El Mirage, AZ",1
"Tlaxcala, Mexico",1
"Aurora, CO",1
"Pabellón de Arteaga, Aguascalientes, Mexico",1
"Capellen, Luxembourg District, Luxembourg",1
"San Francisco, Aguascalientes, Mexico",1
"Rafael Delgado, Veracruz, Mexico",1
"Tenayuca, Zacatecas, Mexico",1
"Santa Cruz de la Sierra, Santa Cruz Department, Bolivia",1
